Latitude,Longitude,Limiting_Magnitude
33.8133,-116.527,2
50.7468,7.18729,3
50.6463,6.18987,4
50.7258,7.15402,2
28.6511,-17.8835,2
50.692,7.18618,4
50.7256,7.06772,4
52.2221,8.00997,5
28.655,-17.927,1
39.0236,-82.6187,2
36.1699,-115.14,1
48.7294,9.60723,6
28.643,-17.8952,3
31.6012,-96.423,2
50.9422,6.8803,1
31.6012,-96.423,2
32.571,-97.0554,2
47.3719,-68.3278,3
47.3737,-68.3035,1
47.3799,-68.3165,2
47.3794,-68.3159,3
47.3586,-68.2321,2
28.6426,-17.8911,2
28.655,-17.927,1
40.8877,-74.1531,2
49.833,8.49651,3
50.7257,7.1467,1
28.643,-17.8952,2
28.6453,-17.9334,3
36.9145,-76.3145,1
36.8362,-76.213,2
36.8716,-75.9836,4
28.6683,-17.9032,4
48.7199,9.15034,4
41.3435,21.5602,3
41.343,21.5521,4
41.347,21.5603,3
28.9458,-13.6973,4
28.9316,-13.7502,1
28.2916,-16.6291,5
28.9453,-13.6986,2
28.2916,-16.6291,3
28.8627,-13.8297,3
28.2916,-16.6291,7
28.2916,-16.6291,7
28.8627,-13.8297,3
28.9179,-13.7752,7
28.9141,-13.7774,3
28.9179,-13.7752,7
28.9141,-13.7774,2
28.9141,-13.7774,4
28.8786,-13.8515,3
28.9578,-13.6507,3
28.8786,-13.8515,3
28.8627,-13.8297,1
28.8786,-13.8515,2
28.8627,-13.8297,2
28.8627,-13.8297,2
28.8627,-13.8297,4
-27.6835,-86.3281,3
28.949,-13.7426,2
28.949,-13.7426,2
-23.9676,-46.3753,4
28.6427,-17.9332,3
50.7592,7.14374,4
52.4592,1.713,5
28.6683,-17.9032,4
47.8768,2.74417,5
36.9129,-76.0566,4
50.7584,6.99909,4
48.5118,-2.75661,4
41.3085,0.971276,6
41.312,0.991601,6
50.555,9.66547,4
50.7466,7.18749,4
50.6793,7.18785,3
50.7257,7.1467,4
28.6683,-17.9032,4
50.694,7.05515,4
28.5851,-17.8846,4
36.6021,-76.2451,4
36.8926,-76.5084,2
31.1693,-101.198,2
44.0548,-121.327,3
47.7884,13.0838,2
45.0862,14.1247,4
45.0773,14.1597,4
28.6505,-17.8814,4
50.692,7.18618,4
36.7827,-76.2275,2
31.5202,-96.5331,1
41.3478,21.5573,2
41.3469,21.5602,3
41.3436,21.5602,3
41.3432,21.5594,2
41.3399,21.5524,3
41.3396,21.5511,3
41.3434,21.5472,3
41.3447,21.5509,1
41.3463,21.5541,1
41.347,21.5602,2
41.3444,21.5568,3
41.3434,21.5554,3
35.3268,-120.491,6
39.2309,-84.0423,1
42.0972,-71.1883,1
41.8119,-87.5935,4
13.0827,80.2707,3
49.4461,11.1099,2
53.4467,-2.27902,2
44.1269,15.2431,2
42.3246,-71.307,1
28.6604,-17.9203,2
51.9043,-8.45883,4
52.3972,13.0487,5
28.6472,-17.8941,4
44.8418,-65.2884,4
28.6683,-17.9032,5
36.8843,-75.994,5
30.6134,-96.3434,2
30.3363,-97.8914,4
41.7855,-88.2658,1
40.0058,-105.268,2
32.7098,-108.299,6
44.0548,-121.327,2
31.9686,-99.9018,4
44.5008,-89.54,3
28.6618,-17.9117,2
52.3929,13.0444,5
50.7211,7.07769,4
36.8926,-76.5084,7
36.8361,-76.2127,1
36.8717,-75.9838,4
36.7642,-75.9972,4
44.9529,-92.7754,2
44.9529,-92.7754,2
32.5878,-97.0391,1
24.0929,-109.993,5
32.4805,-96.9639,4
52.9512,6.02613,7
42.3668,-71.3031,3
28.5868,77.0394,3
28.6009,77.0582,3
28.6557,77.1508,2
28.3509,77.1989,2
28.6379,77.1132,2
28.6396,77.103,3
28.6396,77.103,3
-23.6744,-46.5186,1
36.8926,-76.5084,3
28.6683,-17.9032,5
36.9128,-76.0564,1
39.3903,-77.438,2
38.6859,-77.4389,1
44.4718,-89.5229,4
33.5909,-111.962,2
49.557,25.6062,3
28.6453,-17.9334,5
50.6955,7.1624,4
34.6142,135.595,1
28.6701,77.1813,4
42.4476,-72.6808,6
50.4405,11.246,5
47.8939,13.1249,5
28.654,-17.8617,2
28.655,-17.927,3
36.8926,-76.5084,3
36.9143,-76.3108,2
36.8717,-75.9838,4
40.709,-73.5969,1
40.7089,-73.5972,1
39.2263,-84.0404,5
46.8213,-92.0706,2
35.5582,-121.076,6
35.5582,-121.076,6
35.6617,139.703,3
35.662,139.704,1
35.6649,139.704,1
35.6692,139.701,3
35.6692,139.7,1
34.3598,-92.7972,4
-37.9099,145.047,4
28.6783,77.0873,2
50.727,7.14425,1
51.9043,-8.45893,4
28.6427,-17.9332,3
36.6021,-76.2451,4
36.9128,-76.0562,1
32.5632,-97.0607,4
36.7827,-76.2273,2
39.0306,-82.8243,3
32.5686,-97.0809,1
37.0299,-76.3452,3
32.5824,-97.0505,3
32.5632,-97.1417,1
32.6316,-97.151,3
32.3249,-96.6509,3
43.6163,-116.908,6
56.6996,11.5555,2
33.5781,-111.967,2
44.982,-92.9581,6
28.6614,-17.9144,2
32.5686,-97.0809,1
40.7168,-73.5994,5
28.6427,-17.9332,4
40.7449,-73.5981,1
32.2226,-110.975,4
41.7071,-88.082,3
12.9927,80.1964,4
12.9927,80.1964,4
12.9927,80.1964,4
12.9927,80.1964,4
12.9927,80.1964,4
12.9927,80.1964,4
12.9927,80.1964,4
12.9927,80.1964,4
12.9927,80.1964,4
12.9927,80.1964,4
12.9927,80.1964,4
12.9927,80.1964,4
12.9927,80.1964,4
28.655,-17.927,5
28.5849,-17.8847,3
32.0717,-96.4993,4
28.6683,-17.9032,4
35.5437,-120.722,6
32.3249,-96.6509,2
32.2876,-96.6094,2
39.5284,-104.946,1
20.5536,-87.167,6
-23.9687,-46.3733,2
28.654,-17.8617,3
28.5861,-17.9095,3
44.0548,-121.327,2
28.6472,-17.8941,3
28.6683,-17.9032,4
-7.39202,112.734,2
28.6441,-17.9438,3
28.6516,-17.8787,4
28.655,-17.927,3
28.6683,-17.9032,3
28.587,-17.9114,2
28.6683,-17.9032,3
52.9209,13.5482,6
28.6683,-17.9032,3
12.2019,-68.2624,2
30.1887,-97.7054,2
30.1627,-97.8079,2
-23.6755,-46.5211,4
33.9511,-118.225,1
45.1851,14.1843,4
45.1972,14.1851,4
45.0576,14.067,3
45.0915,14.1339,4
45.0825,14.0858,1
45.0981,14.1072,1
45.1298,14.0584,4
45.1014,14.1047,3
45.2461,14.1436,2
45.074,14.1516,2
45.1851,14.1843,4
45.0576,14.067,2
45.0576,14.067,2
45.0987,14.1213,4
45.1127,14.1336,2
28.5849,-17.8847,3
38.7422,-82.8581,1
40.7225,-73.51,1
45.0914,14.1236,3
45.0914,14.1236,4
45.0914,14.1236,2
45.0914,14.1236,4
45.0914,14.1236,4
45.0914,14.1236,1
45.0914,14.1236,2
45.0914,14.1236,4
45.0955,14.1227,6
45.0857,14.1226,2
45.096,14.1109,3
45.0804,14.0846,3
45.125,14.0508,1
45.0914,14.1236,4
45.1033,14.1143,2
47.6101,20.7281,4
28.5875,-17.9105,2
28.655,-17.927,2
-23.6755,-46.5211,4
45.0902,14.0734,3
45.0846,14.1234,4
28.6604,-17.9069,2
28.519,-16.3172,2
28.643,-17.8989,2
19.4862,-99.0713,2
48.4425,11.1182,3
28.585,-17.8847,4
28.5875,-17.9105,1
40.0336,-105.087,3
-33.2328,-54.385,4
28.654,-17.869,2
28.655,-17.927,3
41.7365,-111.826,2
49.2624,-122.868,3
28.5849,-17.8847,4
34.9165,33.4017,3
-33.2244,-54.3863,2
39.9874,-105.294,5
-33.2314,-54.3806,2
-33.2294,-54.3951,1
33.969,-118.247,1
38.7379,-82.8314,6
38.7379,-82.8314,3
28.6604,-17.9203,1
28.655,-17.927,1
40.0997,-105.226,6
40.6909,-73.7406,2
28.5849,-17.8847,4
52.2563,10.4151,5
52.2563,10.4151,5
52.2563,10.4151,5
52.2563,10.4151,5
40.0061,-105.251,2
28.655,-17.927,5
28.5781,-17.8782,4
28.6604,-17.9068,4
28.6472,-17.8941,2
39.9843,-105.117,4
35.3825,-78.9024,2
35.3825,-78.9024,3
28.655,-17.927,4
28.6453,-17.9334,4
28.6472,-17.8941,4
28.6604,-17.9069,4
28.655,-17.927,5
28.6683,-17.9032,4
40.8659,-73.8843,1
28.6602,77.2849,1
28.655,-17.927,5
28.586,-17.9095,5
-33.2234,-54.3835,7
28.6683,-17.9032,5
40.1845,-104.969,5
33.8931,-118.353,2
-33.4233,-54.044,3
33.969,-118.247,1
28.6683,-17.9032,6
28.5994,-17.8836,2
52.6219,1.23918,7
39.9535,-105.333,7
-22.9278,-43.2583,3
28.6582,-17.9073,1
33.1402,-117.117,1
47.4053,-122.759,2
33.4555,-117.1,2
35.4748,139.463,2
28.6925,77.304,7
28.672,77.3263,7
28.6427,-17.9332,3
38.8878,-119.82,6
28.6586,-17.9085,1
28.586,-17.9095,4
39.967,-105.188,2
40.9864,-73.8103,1
47.4066,-122.819,3
35.3268,-120.491,6
35.3207,-120.497,7
-33.2343,-54.3797,5
28.586,-17.9095,2
-33.208,-54.3573,5
-32.9933,-54.5622,5
35.987,-87.145,3
4.59294,-74.1676,2
39.0236,-82.6187,4
47.2668,-122.466,2
33.4553,-117.1,2
39.2409,-82.4239,4
39.0236,-82.6187,5
38.7426,-82.8579,3
38.7425,-82.8579,4
28.6472,-17.8941,3
28.6505,-17.8808,1
40.006,-105.268,4
28.6683,-17.9032,4
35.987,-87.145,3
4.65894,-74.117,2
47.2076,-122.556,3
4.60252,-74.1917,2
49.2624,-122.868,3
44.0548,-121.327,3
44.0548,-121.327,1
39.9945,-105.31,4
4.6727,-74.0924,2
35.987,-87.145,3
28.5191,-16.3169,2
33.5098,-117.147,2
35.4748,139.463,2
47.2089,-122.525,3
28.6452,-17.9334,3
28.5191,-16.3169,2
4.63527,-74.1658,5
38.6873,-77.4317,4
4.6675,-74.1233,3
39.9401,-105.499,6
47.2783,-122.508,2
38.4694,-109.741,7
28.5191,-16.3169,4
47.2228,-122.504,1
28.6427,-17.9332,2
28.6683,-17.9032,3
40.0023,-105.252,1
38.6924,-121.274,4
41.8106,140.717,2
28.5191,-16.3169,4
40.4197,-109.317,3
38.686,-77.439,4
44.0548,-121.327,2
41.7018,-88.1166,2
47.2298,-122.411,2
47.2457,-122.552,4
47.2041,-122.231,5
47.2041,-122.231,5
47.2457,-122.552,5
47.2457,-122.552,4
48.686,9.79587,5
48.6879,9.82571,6
48.6853,9.8203,6
35.4748,139.463,2
28.6427,-17.9332,3
28.5191,-16.3169,5
28.655,-17.927,5
41.9028,12.4964,1
-33.229,-54.3576,1
38.6886,-77.4415,4
40.6713,-73.5746,1
28.5191,-16.3169,2
46.7365,-117.146,4
38.5799,-109.62,6
28.6604,-17.9069,3
28.586,-17.9095,3
-33.2411,-54.3839,2
28.655,-17.927,5
38.6886,-77.4415,5
28.5191,-16.3169,2
44.0548,-121.327,2
52.3972,13.0487,5
